,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
1032,Land Rover,Range Rover Velar,2018,внедорожник,3 818 000,2.0,чёрный,полный,левый,бензин,,,5,250 л.с.,,SALYA2BX*JA****06,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_range_rover_velar_2018_1230190884
1033,Land Rover,Range Rover Sport,2008,внедорожник,930 000,3.6,голубой,полный,левый,дизель,не битый,2,5,277 л.с.,250000 км,SALLSAA2*8A****60,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_range_rover_sport_2008_977749002
1034,Land Rover,Range Rover,2014,внедорожник,3 127 000,4.4,чёрный,полный,левый,дизель,не битый,1,,339 л.с.,90341 км,SALGA2HF*FA****53,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_range_rover_2014_1307574908
1035,Land Rover,Discovery,2006,внедорожник,700 000,2.7,синий,полный,левый,дизель,не битый,3,5,190 л.с.,270000 км,SALLAAA1*6A****36,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_discovery_2006_951372413
1036,Land Rover,Freelander,2013,внедорожник,1 395 000,2.2,чёрный,полный,левый,дизель,не битый,1,,150 л.с.,90000 км,SALFA2BB*DH****87,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_freelander_2013_1655026521
1037,Land Rover,Range Rover Sport,2007,внедорожник,700 000,4.4,чёрный,полный,левый,бензин,не битый,3,5,397 л.с.,140732 км,SALLSAA5*8A****49,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_range_rover_sport_2007_1074018535
1038,Land Rover,Discovery,2011,внедорожник,1 270 000,3.0,белый,полный,левый,дизель,не битый,3,5,245 л.с.,200000 км,SALLAAAF*BA****21,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_discovery_2011_1233083683
1039,Land Rover,Range Rover Sport,2006,внедорожник,610 000,4.2,белый,полный,левый,бензин,не битый,1,5,390 л.с.,130000 км,SALLSAA3*6A****10,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_range_rover_sport_2006_1165708616
1040,Land Rover,Range Rover Sport,2006,внедорожник,520 000,4.2,серебряный,полный,левый,бензин,не битый,4+,5,390 л.с.,225000 км,SALLSAA3*6A****00,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_range_rover_sport_2006_1566107202
1041,Land Rover,Range Rover,2011,внедорожник,1 500 000,4.4,чёрный,полный,левый,дизель,не битый,2,5,313 л.с.,98000 км,SALLMAMH*BA****38,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_range_rover_2011_1278406083
1042,Land Rover,Range Rover,2012,внедорожник,1 750 000,5.0,белый,полный,левый,бензин,не битый,2,5,510 л.с.,89000 км,SALLMAME*CA****27,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_range_rover_2012_1447550034
1043,Land Rover,Freelander,2001,универсал,310 000,2.5,серый,полный,левый,бензин,не битый,3,,177 л.с.,200000 км,SALNY222*2A****03,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_freelander_2001_1703230507
1044,Land Rover,Freelander,2010,внедорожник,655 000,2.2,чёрный,полный,левый,дизель,не битый,1,5,160 л.с.,109841 км,SALFA2BB*AH****05,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_freelander_2010_1723446832
1045,Land Rover,Range Rover Evoque,2013,хетчбэк,1 690 000,2.2,бежевый,полный,левый,дизель,не битый,1,5,180 л.с.,100000 км,SALVA2BD*EH****53,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_range_rover_evoque_2013_1414018283
1046,Land Rover,Discovery,2007,внедорожник,670 000,2.7,чёрный,полный,левый,дизель,не битый,2,5,190 л.с.,145000 км,SALLAAA1*8A****86,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_discovery_2007_1068027545
1047,Land Rover,Freelander,2002,внедорожник,329 000,2.0,зелёный,полный,левый,дизель,не битый,2,5,112 л.с.,270000 км,SALLNABE*2A****02,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_freelander_2002_1008183121
1048,Land Rover,Discovery,2007,внедорожник,780 000,2.7,чёрный,полный,левый,дизель,не битый,3,,190 л.с.,140000 км,SALLAAA1*7A****97,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_discovery_2007_1070072892
1049,Land Rover,Discovery,2007,внедорожник,699 000,2.7,чёрный,полный,левый,дизель,не битый,4+,5,190 л.с.,193748 км,SALLAAA1*7A****83,автомат,https://www.avito.ru/moskva/avtomobili/land_rover_discovery_2007_1684416225
