,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
187,Subaru,Forester,2007,внедорожник,503 000,2.0,чёрный,полный,левый,бензин,не битый,3,5.0,158 л.с.,166019 км,JF1SG5LW*8G****56,механика,https://www.avito.ru/moskva/avtomobili/subaru_forester_2007_1412713774
188,Subaru,Outback,2015,универсал,1 730 000,2.5,бежевый,полный,левый,бензин,не битый,1,,175 л.с.,71939 км,JF1BS9LC*FG****43,вариатор,https://www.avito.ru/moskva/avtomobili/subaru_outback_2015_1617072183
189,Subaru,Impreza,2002,хетчбэк,397 000,2.0,серебряный,полный,левый,бензин,не битый,2,5.0,249 л.с.,41736 км,JF1GG296*2G****47,механика,https://www.avito.ru/moskva/avtomobili/subaru_impreza_2002_1202286711
190,Subaru,Outback,2005,универсал,465 000,2.5,серебряный,полный,левый,бензин,не битый,4+,5.0,165 л.с.,210000 км,JF1BP9LK*5G****01,механика,https://www.avito.ru/moskva/avtomobili/subaru_outback_2005_974055378
191,Subaru,Legacy,2007,универсал,700 000,2.0,белый,полный,правый,бензин,не битый,2,5.0,280 л.с.,198000 км,BP5-****82,автомат,https://www.avito.ru/moskva/avtomobili/subaru_legacy_2007_1625185885
192,Subaru,Impreza,2006,седан,600 000,2.5,чёрный,полный,левый,бензин,не битый,4+,4.0,230 л.с.,98000 км,JF1GDGLD*6G****27,механика,https://www.avito.ru/moskva/avtomobili/subaru_impreza_2006_1541246137
193,Subaru,Outback,2010,универсал,770 000,2.5,чёрный,полный,левый,бензин,не битый,3,,167 л.с.,169049 км,JF1BR9L9*BG****53,вариатор,https://www.avito.ru/moskva/avtomobili/subaru_outback_2010_1358751666
194,Subaru,Impreza,2003,седан,1 000 000,2.5,синий,полный,левый,бензин,не битый,3,4.0,300 л.с.,2000 км,JF1GD706*4L****89,механика,https://www.avito.ru/moskva/avtomobili/subaru_impreza_2003_1422615285
195,Subaru,Forester,2011,универсал,820 000,2.5,серый,полный,левый,бензин,не битый,1,5.0,172 л.с.,108724 км,JF1SHMLS*CG****66,автомат,https://www.avito.ru/moskva/avtomobili/subaru_forester_2011_1261572477
196,Subaru,Forester,2014,внедорожник,1 350 000,2.0,серый,полный,левый,бензин,не битый,1,,150 л.с.,17000 км,JF1SJ5LC*EG****01,автомат,https://www.avito.ru/moskva/avtomobili/subaru_forester_2014_1391228706
197,Subaru,Legacy,2007,седан,695 000,3.0,серый,полный,левый,бензин,не битый,4+,,245 л.с.,108000 км,JF1BLELU*7G****72,автомат,https://www.avito.ru/moskva/avtomobili/subaru_legacy_2007_1630573577
198,Subaru,Forester,2013,внедорожник,1 190 000,2.5,серебряный,полный,левый,бензин,не битый,1,,171 л.с.,103936 км,JF1SJ9LC*DG****42,вариатор,https://www.avito.ru/moskva/avtomobili/subaru_forester_2013_1701976869
199,Subaru,Forester,2013,внедорожник,1 300 000,2.0,синий,полный,левый,бензин,не битый,3,5.0,241 л.с.,42100 км,JF1SJGL8*DG****24,автомат,https://www.avito.ru/moskva/avtomobili/subaru_forester_2013_1457401310
