,Марка,Модель,Год выпуска,Тип кузова,Цена,Объём двигателя,Цвет,Привод,Руль,Тип двигателя,Состояние,Владельцев по ПТС,Количество дверей,Мощность двигателя,Пробег,VIN или номер кузова,Коробка передач,Ссылка
88,ГАЗ,ГАЗель,2011,фургон,310 000,2.9,белый,задний,левый,бензин,не битый,1,,107 л.с.,169000 км,X9633020*B2****11,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2011_1262387669
89,ГАЗ,Соболь 2310,2016,фургон,385 000,2.9,белый,задний,левый,бензин,не битый,1,2,100 л.с.,86000 км,Z9D2704A*F0****12,механика,https://www.avito.ru/moskva/avtomobili/gaz_sobol_2310_2016_1409243442
90,ГАЗ,ГАЗель,2008,фургон,255 000,2.5,белый,задний,левый,бензин,не битый,3,2,120 л.с.,250000 км,X9633020*82****66,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2008_1359870382
91,ГАЗ,ГАЗель 3302,2011,фургон,429 000,2.8,синий,задний,левый,дизель,не битый,2,2,120 л.с.,138000 км,X3X27470*B0****35,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2011_1524115534
92,ГАЗ,ГАЗель,2002,фургон,130 000,2.3,белый,задний,левый,бензин,не битый,1,,98 л.с.,200000 км,X892757A*20****88,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2002_1720639420
93,ГАЗ,ГАЗель 3302,2013,фургон,485 000,2.8,белый,задний,левый,дизель,не битый,1,,120 л.с.,100000 км,X3X27470*C0****26,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2013_1327722039
94,ГАЗ,ГАЗель 3302,2017,фургон,750 000,2.9,белый,задний,левый,бензин,не битый,1,2,100 л.с.,39000 км,X9633025*H2****61,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2017_1315845830
95,ГАЗ,ГАЗель 33023,2016,пикап,695 000,2.9,белый,полный,левый,бензин,не битый,1,2,107 л.с.,41200 км,Z783009D*F0****80,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_33023_2016_1711973105
96,ГАЗ,ГАЗель 33023,2014,фургон,620 000,2.9,белый,задний,левый,бензин,не битый,1,,107 л.с.,106000 км,Z783009A*E0****51,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_33023_2014_1395676285
97,ГАЗ,ГАЗель,2003,фургон,160 000,2.3,белый,задний,левый,бензин,не битый,2,2,98 л.с.,30000 км,X1A27070*30****65,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2003_1557179713
98,ГАЗ,ГАЗель,2007,фургон,155 000,2.4,синий,задний,левый,бензин,не битый,1,,140 л.с.,133000 км,X9633020*72****68,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2007_1591454995
99,ГАЗ,3110 Волга,2000,седан,55 000,2.5,белый,задний,левый,бензин,не битый,2,4,81 л.с.,45000 км,XTH31100*11****39,механика,https://www.avito.ru/moskva/avtomobili/gaz_3110_volga_2000_1497440421
100,ГАЗ,ГАЗель Next,2015,фургон,690 000,2.8,белый,задний,левый,дизель,не битый,1,,120 л.с.,84000 км,X96A23R3*F2****54,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_next_2015_927267439
101,ГАЗ,Соболь 2217,2007,микроавтобус,120 000,2.5,серый,задний,левый,бензин,не битый,2,,140 л.с.,200000 км,X9622170*70****06,механика,https://www.avito.ru/moskva/avtomobili/gaz_sobol_2217_2007_1433427016
102,ГАЗ,ГАЗель 3302,2014,фургон,425 000,2.9,белый,задний,левый,бензин,не битый,1,2,107 л.с.,61000 км,X9633020*E0****68,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2014_1560807012
103,ГАЗ,ГАЗель 3302,2014,фургон,520 000,2.9,белый,задний,левый,бензин,не битый,1,,107 л.с.,134000 км,Z783009A*D0****66,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2014_1720190169
104,ГАЗ,Соболь 2752,2007,фургон,155 000,2.4,серебряный,задний,левый,бензин,не битый,2,3,140 л.с.,157000 км,X9627520*60****23,механика,https://www.avito.ru/moskva/avtomobili/gaz_sobol_2752_2007_1169300549
105,ГАЗ,ГАЗель Next,2015,фургон,790 000,2.9,белый,задний,левый,дизель,не битый,1,2,150 л.с.,73000 км,X9H37170*FC****91,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_next_2015_1021548827
106,ГАЗ,ГАЗель,2008,фургон,150 000,2.5,синий,задний,левый,бензин,не битый,3,2,100 л.с.,13000 км,XSU28180*80****10,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2008_1259324384
107,ГАЗ,ГАЗель,2008,фургон,150 000,2.5,синий,задний,левый,бензин,не битый,3,2,100 л.с.,13000 км,XSU28180*80****10,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2008_1259324384
108,ГАЗ,ГАЗель,2010,фургон,346 000,2.4,белый,задний,левый,бензин,не битый,1,3,133 л.с.,117000 км,X5J27900*A0****00,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2010_1479139654
109,ГАЗ,Соболь,2013,фургон,300 000,2.8,белый,задний,левый,бензин,не битый,2,2,107 л.с.,140000 км,X9617240*F0****85,механика,https://www.avito.ru/moskva/avtomobili/gaz_sobol_2013_1673681588
110,ГАЗ,ГАЗель 3302,2017,фургон,599 000,2.9,белый,задний,левый,бензин,не битый,1,,107 л.с.,120000 км,XU42834D*G0****64,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2017_1404839414
111,ГАЗ,ГАЗель 3302,2013,фургон,567 000,2.5,белый,задний,левый,бензин,не битый,1,2,106 л.с.,27000 км,X9633020*E0****29,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2013_1371219037
112,ГАЗ,ГАЗель Next,2015,фургон,740 000,2.8,красный,задний,левый,дизель,не битый,2,3,149 л.с.,75000 км,X96A22R3*F2****89,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_next_2015_1548431943
113,ГАЗ,Соболь 2310,2010,фургон,235 000,2.9,белый,задний,левый,бензин,не битый,1,2,106 л.с.,120000 км,Z7417240*B0****58,механика,https://www.avito.ru/moskva/avtomobili/gaz_sobol_2310_2010_1582863444
114,ГАЗ,ГАЗель Next,2017,фургон,850 000,2.7,белый,задний,левый,бензин,не битый,1,,107 л.с.,4200 км,XU42824P*H0****76,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_next_2017_1340979683
115,ГАЗ,ГАЗель 3302,2000,фургон,70 000,2.3,бежевый,задний,левый,бензин,не битый,1,2,98 л.с.,40000 км,XTH33020*Y1****63,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2000_1705095533
116,ГАЗ,3110 Волга,2001,седан,45 000,2.4,белый,задний,левый,бензин,не битый,2,4,59 л.с.,221000 км,XTH31100*11****39,механика,https://www.avito.ru/moskva/avtomobili/gaz_3110_volga_2001_1499578618
117,ГАЗ,Соболь 2752,2009,микроавтобус,175 000,2.4,синий,задний,левый,бензин,не битый,1,4,133 л.с.,147000 км,X9627520*90****68,механика,https://www.avito.ru/moskva/avtomobili/gaz_sobol_2752_2009_1463462015
118,ГАЗ,ГАЗель 3302,2014,фургон,465 000,2.9,синий,задний,левый,бензин,не битый,1,2,107 л.с.,152000 км,XU42834P*E0****36,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2014_1561389959
119,ГАЗ,ГАЗель Next,2013,фургон,600 000,2.8,серый,задний,левый,дизель,не битый,1,2,120 л.с.,187399 км,XU42824N*D0****63,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_next_2013_1354753894
120,ГАЗ,31105 Волга,2003,седан,60 000,2.3,серый,передний,левый,бензин,не битый,2,4,131 л.с.,108198 км,XTH31100*31****55,механика,https://www.avito.ru/moskva/avtomobili/gaz_31105_volga_2003_1672544630
121,ГАЗ,ГАЗель 3302,2004,фургон,140 000,2.3,белый,задний,левый,бензин,не битый,1,2,72 л.с.,150000 км,X6F37960*40****52,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2004_1271822392
122,ГАЗ,ГАЗель 3302,2011,фургон,235 000,2.9,серый,задний,левый,бензин,не битый,1,,107 л.с.,257000 км,Z7417241*B0****23,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2011_1414620456
123,ГАЗ,ГАЗель 3302,2013,фургон,379 000,2.8,белый,задний,левый,дизель,не битый,1,,120 л.с.,125000 км,X9633020*C2****59,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2013_1500255071
124,ГАЗ,ГАЗель Next,2015,фургон,670 000,2.8,серый,задний,левый,дизель,не битый,1,,120 л.с.,56000 км,X96A21R3*F2****31,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_next_2015_1103517122
125,ГАЗ,Соболь 2752,2007,фургон,215 000,2.3,серый,задний,левый,бензин,не битый,2,4,140 л.с.,95000 км,X9627520*70****52,механика,https://www.avito.ru/moskva/avtomobili/gaz_sobol_2752_2007_1232076909
126,ГАЗ,ГАЗель 3302,2012,фургон,485 000,2.8,белый,задний,левый,дизель,не битый,1,,120 л.с.,121000 км,XU42844P*B0****09,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2012_1719293598
127,ГАЗ,Соболь 2310,2014,фургон,350 000,2.9,белый,задний,левый,бензин,не битый,1,,107 л.с.,92000 км,XU42844B*D0****88,механика,https://www.avito.ru/moskva/avtomobili/gaz_sobol_2310_2014_1453751196
128,ГАЗ,Соболь 2752,2013,фургон,328 000,2.9,серый,задний,левый,бензин,не битый,1,,107 л.с.,105000 км,X9627520*C0****50,механика,https://www.avito.ru/moskva/avtomobili/gaz_sobol_2752_2013_1421468001
129,ГАЗ,ГАЗель 3302,2013,фургон,363 000,2.8,белый,задний,левый,дизель,не битый,1,,120 л.с.,121000 км,Z7417241*C0****01,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2013_1416078009
130,ГАЗ,ГАЗель 3302,2013,фургон,478 000,2.8,белый,задний,левый,дизель,не битый,1,,120 л.с.,138000 км,XU42844P*B0****11,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2013_1661951016
131,ГАЗ,ГАЗель 3302,2015,фургон,525 000,3.0,бежевый,задний,левый,газ,не битый,1,,107 л.с.,128000 км,XU42834D*F0****65,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2015_1641611589
132,ГАЗ,ГАЗель Next,2015,фургон,665 000,2.8,серый,задний,левый,бензин,не битый,1,2,106 л.с.,98000 км,XU42824D*F0****29,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_next_2015_1528113845
133,ГАЗ,ГАЗель 3302,2012,фургон,420 000,2.9,белый,задний,левый,бензин,не битый,1,,107 л.с.,112000 км,Z7417241*C0****39,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2012_1263342499
134,ГАЗ,ГАЗель 33023,2013,фургон,430 000,2.9,белый,задний,левый,бензин,не битый,1,,107 л.с.,120000 км,X9633023*C0****81,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_33023_2013_1449827470
135,ГАЗ,ГАЗель 3302,2011,фургон,370 000,2.9,белый,задний,левый,бензин,не битый,1,,107 л.с.,138000 км,X3X27473*A0****13,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2011_1657089289
136,ГАЗ,ГАЗель 3302,2013,фургон,475 000,2.9,белый,задний,левый,бензин,не битый,1,,107 л.с.,129000 км,XU42834N*D0****98,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2013_1361491024
137,ГАЗ,ГАЗель 3302,2015,фургон,530 000,2.9,белый,задний,левый,бензин,не битый,2,,107 л.с.,198057 км,X6F37960*F0****14,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2015_1685976601
138,ГАЗ,ГАЗель,2012,фургон,320 000,2.9,синий,передний,левый,бензин,не битый,2,2,106 л.с.,200000 км,Z7417241*C0****38,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2012_1287875703
139,ГАЗ,31105 Волга,2005,седан,75 000,2.4,серебряный,задний,левый,бензин,не битый,1,4,130 л.с.,259000 км,XTH31105*51****29,механика,https://www.avito.ru/moskva/avtomobili/gaz_31105_volga_2005_1165312574
140,ГАЗ,ГАЗель 3302,2010,фургон,344 500,2.7,синий,задний,левый,бензин,не битый,3,2,106 л.с.,147400 км,X3X27471*B0****32,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2010_1718157085
141,ГАЗ,ГАЗель 2705,2006,фургон,125 000,2.5,синий,задний,левый,бензин,не битый,4+,,140 л.с.,125000 км,X9627050*60****32,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2705_2006_994595657
142,ГАЗ,ГАЗель 3302,2013,фургон,520 000,2.8,белый,задний,левый,дизель,не битый,1,,120 л.с.,106000 км,Z783009A*D0****87,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2013_1413196768
143,ГАЗ,ГАЗель 3221,2012,микроавтобус,300 000,2.9,белый,задний,левый,бензин,не битый,1,5,106 л.с.,220000 км,Z7C22500*C0****83,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3221_2012_1354525325
144,ГАЗ,Соболь 2752,2012,фургон,310 000,2.9,серый,задний,левый,бензин,не битый,1,,106 л.с.,200000 км,X9627520*C0****31,механика,https://www.avito.ru/moskva/avtomobili/gaz_sobol_2752_2012_1082874302
145,ГАЗ,310221 Волга,2007,универсал,160 000,2.3,чёрный,задний,левый,бензин,не битый,1,5,130 л.с.,58113 км,X9631022*71****91,механика,https://www.avito.ru/moskva/avtomobili/gaz_310221_volga_2007_1507145267
146,ГАЗ,ГАЗель 3221,2011,микроавтобус,175 000,2.9,белый,задний,левый,бензин,не битый,1,,108 л.с.,150000 км,X9632213*B0****00,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3221_2011_620506509
147,ГАЗ,ГАЗель 33023,2011,фургон,275 000,2.9,белый,задний,левый,бензин,не битый,1,2,106 л.с.,65000 км,X3X27471*A0****25,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_33023_2011_837693643
148,ГАЗ,ГАЗель 2705,2013,фургон,350 000,2.8,синий,задний,левый,дизель,не битый,1,2,120 л.с.,89000 км,X9627050*C0****38,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2705_2013_1628674657
149,ГАЗ,ГАЗель 3302,2006,фургон,220 000,2.4,белый,задний,левый,бензин,не битый,2,2,145 л.с.,145000 км,X9R27961*60****84,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2006_1641268114
150,ГАЗ,ГАЗель,2007,пикап,180 000,2.5,синий,задний,левый,бензин,не битый,1,2,140 л.с.,200000 км,X9633023*72****12,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2007_1306472571
151,ГАЗ,ГАЗель 3302,2016,фургон,520 000,2.9,белый,задний,левый,бензин,не битый,1,2,107 л.с.,76000 км,X9H2757Y*F3****25,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2016_934547862
152,ГАЗ,ГАЗель Next,2017,микроавтобус,1 400 000,2.8,белый,задний,левый,дизель,не битый,1,2,120 л.с.,1000 км,X96A64R4*H0****70,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_next_2017_1515674925
153,ГАЗ,ГАЗель 3302,2011,фургон,330 000,2.9,синий,задний,левый,бензин,не битый,2,2,107 л.с.,134000 км,X9633020*B2****59,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2011_1333751776
154,ГАЗ,ГАЗель 2705,2014,фургон,450 000,2.9,белый,задний,левый,газ,не битый,2,,100 л.с.,100001 км,X9627055*F0****77,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2705_2014_1508180465
155,ГАЗ,ГАЗель 3302,2016,фургон,695 000,2.7,белый,задний,левый,бензин,не битый,1,2,107 л.с.,22810 км,Z783009A*G0****66,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2016_1353507871
156,ГАЗ,ГАЗель,2008,пикап,200 000,2.5,фиолетовый,задний,левый,бензин,не битый,1,2,123 л.с.,300000 км,XSU28180*80****53,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_2008_1429427411
157,ГАЗ,ГАЗель 3302,2016,фургон,695 000,2.7,белый,задний,левый,бензин,не битый,1,2,107 л.с.,22810 км,Z783009A*G0****66,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2016_1353507871
158,ГАЗ,Volga Siber,2009,седан,250 000,2.4,серебряный,передний,левый,бензин,не битый,4+,4,143 л.с.,138700 км,X96ERB6X*A0****73,автомат,https://www.avito.ru/moskva/avtomobili/gaz_volga_siber_2009_1523270050
159,ГАЗ,310221 Волга,2003,универсал,100 000,2.3,чёрный,задний,левый,бензин,не битый,2,5,96 л.с.,146867 км,XTH31022*31****69,механика,https://www.avito.ru/moskva/avtomobili/gaz_310221_volga_2003_978170125
160,ГАЗ,ГАЗель 3302,2013,фургон,460 000,2.8,белый,задний,левый,дизель,не битый,2,,120 л.с.,123000 км,X3X27470*C0****55,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2013_1636872804
161,ГАЗ,Соболь 2752,2010,фургон,255 000,2.9,голубой,задний,левый,бензин,не битый,1,4,107 л.с.,98000 км,X9627520*B0****32,механика,https://www.avito.ru/moskva/avtomobili/gaz_sobol_2752_2010_1249347897
162,ГАЗ,Volga Siber,2010,седан,370 000,2.4,синий,передний,левый,бензин,не битый,2,,143 л.с.,19500 км,X96ERB6X*A0****27,автомат,https://www.avito.ru/moskva/avtomobili/gaz_volga_siber_2010_938661384
163,ГАЗ,ГАЗель 3221,2010,микроавтобус,235 000,2.9,белый,задний,левый,бензин,не битый,1,,107 л.с.,95000 км,X9632210*90****54,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3221_2010_945164113
164,ГАЗ,ГАЗель 3221,2008,микроавтобус,169 900,2.6,синий,задний,левый,бензин,не битый,3,,123 л.с.,260000 км,X9632213*80****02,механика,https://www.avito.ru/moskva/avtomobili/gaz_gazel_3221_2008_1412850213
